Location;Season;Sampling;Event number;Sample number;The number of sample;Image;FT-IR;Lost;Broken;diameter / mm;area / mm^2;estimated mass / µg;Color;Shape;Component;Remark;Product;Remark;Note
Ubon Ratchathani;Dry Season;Accumulation Sampling;512;8;1;0512-0008.jpg;0512-0008-air-ATR.JDX;;;0,68;0,10;-;yellow;Fiber;others;similar to polyvinylchloride;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;512;9;1;0512-0009.jpg;0512-0009-air-ATR.JDX;;;1,67;0,54;32,34;white;Fiber;PP;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;512;10;1;0512-0010.jpg;0512-0010-air-ATR.JDX;;;0,69;0,13;-;blue;Fragment;others;similar to polyvinylchloride;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;512;11;1;0512-0011.jpg;0512-0011-air-ATR.JDX;;;0,73;0,20;27,23;transparent;Sheet;PS;;;;
Ubon Ratchathani;Dry Season;Regional Sampling;513;1;1;0513-0001.jpg;0513-0001-air-ATR.JDX;;;1,12;0,37;49,56;white;Sheet;PS;;;;
Ubon Ratchathani;Dry Season;Regional Sampling;513;2;1;0513-0002.jpg;0513-0002-air-ATR.JDX;;;4,91;3,33;199,96;green;Fiber;PP;;;;
Ubon Ratchathani;Dry Season;Regional Sampling;514;1;1;0514-0001.jpg;0514-0001-air-ATR.JDX;;;7,81;13,73;823,59;blue;Fiber;PP;;;;
Ubon Ratchathani;Dry Season;Regional Sampling;514;2;1;0514-0002.jpg;0514-0002-air-ATR.JDX;;;3,12;4,39;263,16;blue;Fiber;PP;;;;
Ubon Ratchathani;Dry Season;Regional Sampling;514;4;1;0514-0004.jpg;0514-0004-air-ATR.JDX;;;1,22;0,53;54,04;blue;Fragment;PP;??;;;
Ubon Ratchathani;Dry Season;Regional Sampling;514;7;1;0514-0007.jpg;0514-0007-air-ATR.JDX;?;;3,07;0,12;-;white;Fiber;Not Plastic;can not be idenfied;;;
Ubon Ratchathani;Dry Season;Regional Sampling;514;8;1;0514-0008.jpg;0514-0008-air-ATR.JDX;;;6,02;1,81;231,95;white;Fiber;PE;;;;
Ubon Ratchathani;Dry Season;Regional Sampling;515;2;1;0515-0002.jpg;0515-0002-air-ATR.JDX;;;7,31;2,86;366,81;white;Fiber;PET;;;;
Ubon Ratchathani;Dry Season;Regional Sampling;515;5;1;0515-0005.jpg;0515-0005-air-ATR.JDX;;;3,66;5,61;568,70;transparent;Sheet;PE;;;;
Ubon Ratchathani;Dry Season;Regional Sampling;515;8;1;-;-;?;?;;;-;-;-;-;;;;
Ubon Ratchathani;Dry Season;Regional Sampling;515;13;1;0515-0013.jpg;0515-0013-air-ATR.JDX;;;3,76;0,29;-;white;Fiber;Not Plastic;can not be idenfied;;;
Ubon Ratchathani;Dry Season;Regional Sampling;515;15;1;0515-0015.jpg;0515-0015-air-ATR.JDX;;;2,10;0,74;95,08;white;Fiber;PE;;;;
Ubon Ratchathani;Dry Season;Regional Sampling;516;1;1;0516-0001.jpg;0516-0001-air-ATR.JDX;;;5,15;9,46;-;multicolor;Fiber;others;can not be idenfied;;;
Ubon Ratchathani;Dry Season;Regional Sampling;516;2;1;0516-0002.jpg;0516-0002-air-ATR.JDX;;;1,11;0,40;41,22;red;Fragment;PP;??;;;
Ubon Ratchathani;Dry Season;Regional Sampling;516;3;1;0516-0003.jpg;0516-0003-air-ATR.JDX;;;0,56;0,10;10,35;red;Fragment;PP;??;;;
